"","Process","Function","Gene"
"549","unknown","similar to potato sucrose cleavage protein","YML050W"
"550","endocytosis (putative)","suppresses rvs167 mutation","YML052W"
"551","unknown","unknown","YML058W"
"552","DNA repair","8-oxoguanine DNA glycosylase","YML060W"
"553","DNA repair, mitochondrial","DNA helicase","YML061C"
"554","cell cycle","GTP-binding protein, RAS superfamily","YML064C"
"555","DNA replication","origin recognition complex 104 kD subunit","YML065W"
"556","unknown","unknown","YML066C"
"557","unknown","unknown","YML072C"
"558","unknown","unknown","YML100W"
"559","chromatin structure","chromatin assembly factor I subunit","YML102W"
"560","cell cycle","Zds1 homolog","YML109W"
"561","ubiquinone biosynthesis","methyltransferase","YML110C"
"562","aminotriazole resistance","transporter (putative)","YML116W"
"563","unknown","unknown","YML117W"
"564","unknown","unknown","YML119W"
"565","oxidative phosphorylation","NADH-ubiquinone-6 oxidoreductase","YML120C"
"566","transport","inorganic phosphate permease","YML123C"
"567","unknown","similar to NADH-cytochrome b5 reductase","YML125C"
"568","unknown","similar to other subtelomerically-encoded proteins","YML133C"
"569","cell cycle","G2/M protein kinase","YMR001C"
"570","unknown","unknown","YMR002W"
"571","unknown","unknown","YMR003W"
"572","transport","hexose permease","YMR011W"
"573","sterol metabolism","C-22 sterol desaturase","YMR015C"
"574","unknown","unknown","YMR031C"
"575","cytokinesis","unknown","YMR032W"
"576","unknown","unknown","YMR048W"
"577","cell cycle, checkpoint","unknown","YMR055C"
"578","transport","cell surface ferroxidase","YMR058W"
"579","mitosis, sister chromatid cohesion","unknown","YMR076C"
"580","mitosis, chromosome transmission","unknown","YMR078C"
"581","unknown","unknown","YMR144W"
"582","unknown","similar to rotenone-insensitive NADH-ubiquinone","YMR145C"
"583","unknown","unknown","YMR163C"
"584","transcription","transcriptional regulator","YMR179W"
"585","secretion","post-Golgi t-SNARE","YMR183C"
"586","amino acid metabolism","glycine decarboxylase P subunit","YMR189W"
"587","cytoskeleton","spindle pole body associated protein","YMR198W"
"588","cell cycle","G1/S cyclin","YMR199W"
"589","sterol metabolism","C-8 sterol isomerase","YMR202W"
"590","unknown","similar to Gas1p","YMR215W"
"591","pseudohyphal growth","unknown","YMR238W"
"592","fatty acid metabolism","long-chain-fatty-acid--CoA ligase","YMR246W"
"593","unknown","major facilitator superfamily","YMR253C"
"594","unknown","unknown","YMR254C"
"595","unknown","similar to phosphomannomutase","YMR278W"
"596","unknown","unknown","YMR295C"
"597","unknown","similar to Bgl2p and other glucans (GB:Z49212)","YMR305C"
"598","unknown","cell surface glycoprotein","YMR307W"
"599","mitochondrial protein targeting","mitochondrial carrier family","YNL003C"
"600","unknown","protease inhibitor","YNL015W"
"601","chromatin structure","histone H4","YNL030W"
"602","chromatin structure","histone H3","YNL031C"
"603","TCA cycle","isocitrate dehydrogenase","YNL037C"
"604","unknown","unknown","YNL043C"
"605","unknown","unknown","YNL046W"
"606","unknown","unknown","YNL056W"
"607","unknown","unknown","YNL057W"
"608","unknown","unknown","YNL058C"
"609","DNA replication (putative)","ribonuclease H","YNL072W"
"610","unknown","unknown","YNL078W"
"611","DNA repair","MutL homolog; mismatch repair","YNL082W"
"612","DNA replication","polymerase alpha 180 kD subunit","YNL102W"
"613","lipid metabolism","cytochrome b5","YNL111C"
"614","cytoskeleton","spindle pole body component","YNL126W"
"615","unknown","similar to C. carbonum toxD gene","YNL134C"
"616","mating","a-factor precursor","YNL145W"
"617","diauxic shift","unknown; response to nutrient limitation","YNL160W"
"618","unknown","unknown","YNL165W"
"619","unknown","unknown","YNL166C"
"620","phospholipid metabolism","phosphatidylserine decarboxylase","YNL169C"
"621","unknown","unknown","YNL171C"
"622","mitosis","anaphase-promoting complex subunit","YNL172W"
"623","signaling, pheromone pathway","unknown","YNL173C"
"624","unknown","unknown","YNL176C"
"625","unknown","unknown","YNL181W"
"626","cytokinesis","chitin synthase ","YNL192W"
"627","cell size","unknown","YNL197C"
"628","unknown","unknown","YNL208W"
"629","transcription","transcriptional repressor and activator","YNL216W"
"630","cytoskeleton","spindle pole body component","YNL225C"
"631","drug resistance","unknown","YNL231C"
"632","cytokinesis","may link chitin synthase to septins","YNL233W"
"633","DNA replication","polymerase epsilon catalytic subunit","YNL262W"
"634","unknown","interacts with Yip1p; similar to NADH dehydrogenases","YNL263C"
"635","unknown","topoisomerase I interacting factor","YNL273W"
"636","unknown","unknown","YNL276C"
"637","cell wall biogenesis","alpha-1,4-glucan-glucosidase","YNL283C"
"638","cell cycle","G1/S cyclin","YNL289W"
"639","unknown","similar to Mid2p","YNL300W"
"640","unknown","similar to Ypt1p and many other ras-like","YNL304W"
"641","unknown","binds Sin3p","YNL309W"
"642","DNA repair","replication factor A 36 kD subunit","YNL312W"
"643","unknown","similar to Akr1p and Ydr126p","YNL326C"
"644","cell cycle","unknown","YNL327W"
"645","protein folding","mitochondrial chaperonin","YNL328C"
"646","unknown","unknown","YNL339C"
"647","unknown","unknown","YNR009W"
"648","mating","a-agglutinin anchor subunit","YNR044W"
"649","lysine biosynthesis","saccharopine dehydrogenase","YNR050C"
"650","unknown","similar to Pep1p","YNR066C"
"651","unknown","unknown","YNR067C"
"652","cell wall biogenesis","chitin synthase 3 subunit","YOL007C"
"653","unknown","similar to phospholipases","YOL011W"
"654","chromatin structure","histone-related","YOL012C"
"655","unknown","unknown","YOL014W"
"656","signaling","calmodulin-dependent protein kinase","YOL016C"
"657","unknown","unknown","YOL017W"
"658","unknown","unknown","YOL019W"
"659","unknown","similar to Gas1p","YOL030W"
"660","unknown","unknown","YOL034W"
"661","arginine biosynthesis","arginosuccinate synthetase","YOL058W"
"662","cytoskeleton","spindle pole body component","YOL069W"
"663","unknown","unknown","YOL070C"
"664","unknown","putative protein disulfide isomerase","YOL088C"
"665","DNA repair","MutS homolog; mismatch repair","YOL090W"
"666","DNA replication","replication factor C, 37 kDa subunit","YOL094C"
"667","unknown","unknown","YOL101C"
"668","unknown","suppresses bud emergence defect","YOL112W"
"669","unknown","similar to human DS-1 protein","YOL114C"
"670","unknown","similar to mammalian monocarboxylate","YOL119C"
"671","unknown","similar to glycophospholipid-anchored surface glycoprotein GAS1","YOL132W"
"672","unknown","unknown","YOL150C"
"673","unknown","major facilitator superfamily","YOL158C"
"674","drug resistance","unknown","YOR018W"
"675","unknown","unknown","YOR023C"
"676","silencing","unknown","YOR025W"
"677","DNA repair","exonuclease; also recombination","YOR033C"
"678","unknown","unknown","YOR049C"
"679","unknown","unknown","YOR052C"
"680","mitosis","spindle midzone component","YOR058C"
"681","unknown","unknown","YOR066W"
"682","unknown","unknown","YOR073W"
"683","DNA replication","thymidylate synthase","YOR074C"
"684","secretion","ER membrane t-SNARE","YOR075W"
"685","unknown","unknown","YOR083W"
"686","unknown","unknown","YOR084W"
"687","unknown","unknown","YOR104W"
"688","unknown","unknown","YOR105W"
"689","unknown","unknown","YOR114W"
"690","unknown","unknown","YOR115C"
"691","unknown","isoamyl acetate hydrolytic enzyme","YOR126C"
"692","bud site selection","putative GTPase-activating protein (GAP) for GAP for Cdc42p or Rho1p","YOR127W"
"693","unknown","unknown","YOR129C"
"694","unknown","unknown","YOR144C"
"695","unknown","unknown","YOR152C"
"696","drug resistance","transporter","YOR153W"
"697","heme biosynthesis","ferrochelatase (protoheme ferrolyase)","YOR176W"
"698","polarized growth","unknown","YOR188W"
"699","mitosis","unknown; synthetic lethal with kar3","YOR195W"
"700","transcription","shared subunit of RNA polymerases I, II, and III","YOR229W"
"701","meiosis","transcription factor","YOR230W"
"702","RNA processing","U3 snRNA","YOR235W"
"703","sporulation","unknown; similar to class II family of aminoacyl-tRNA synthetases","YOR242C"
"704","unknown","unknown; similar to Svs1p; suppressor of Rad53 lethality","YOR247W"
"705","unknown","unknown","YOR248W"
"706","mRNA 3'-end processing","cleavage/polyadenylation factor CF IA component","YOR250C"
"707","unknown","similar to secretory protein Ssp134p","YOR256C"
"708","unknown","unknown","YOR258W"
"709","unknown","similar to adenosine A1 receptors","YOR263C"
"710","unknown","unknown","YOR264W"
"711","vacuolar acidification","vacuolar H+-ATPase 95 kD subunit","YOR270C"
"712","unknown","similar to members of major facilitator superfamily","YOR273C"
"713","unknown","similar to phosphoglycerate mutases","YOR283W"
"714","unknown","meiosis (putative)","YOR298W"
"715","secretion","unknown; suppresses ypt1 null","YOR307C"
"716","unknown","unknown","YOR308C"
"717","sporulation","putative cell wall component","YOR313C"
"718","unknown","unknown","YOR314W"
"719","unknown","unknown","YOR315W"
"720","fatty acid metabolism","long chain fatty acyl:CoA synthetase","YOR317W"
"721","unknown","unknown","YOR320C"
"722","protein glycosylation","dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase","YOR321W"
"723","proline biosynthesis","gamma-glutamyl phosphate reductase","YOR323C"
"724","unknown","unknown","YOR324C"
"725","vacuolar acidification","vacuolar H+-ATPase V1 domain 27 KD subunit","YOR332W"
"726","transcription","Ty1 enhancer activator","YOR337W"
"727","unknown","unknown","YOR342C"
"728","respiration (putative)","unknown; suppresses nam9-1","YOR355W"
"729","unknown","unknown","YOR372C"
"730","unknown","unknown","YOR383C"
"731","unknown","unknown","YOR391C"
"732","unknown","unknown","YPL014W"
"733","unknown","unknown","YPL021W"
"734","unknown","unknown","YPL025C"
"735","unknown","unknown; styryl dye vacuolar localization","YPL032C"
"736","H+ homeostasis","plasma membrane H+-ATPase","YPL036W"
"737","unknown","unknown","YPL054W"
"738","sphingolipid metabolism","suppresses cls2-2and rvs161","YPL057C"
"739","drug resistance","transporter","YPL058C"
"740","ethanol utilization","acetaldehyde dehydrogenase","YPL061W"
"741","glycolysis","transcriptional activator","YPL075W"
"742","unknown","similar to Ybr177p","YPL095C"
"743","arginine metabolism","arginase","YPL111W"
"744","unknown","similar to Hda1p, Rpd3p, Hos2p, and Hos1p","YPL116W"
"745","nuclear protein targeting","spindle pole body associated protein","YPL124W"
"746","chromatin structure","histone H1","YPL127C"
"747","telomere length regulation","telomere TTAGGG repeat-binding factor","YPL128C"
"748","unknown","similar to transcription factors, has Zn[2]-Cys[6]","YPL133C"
"749","unknown","similar to Kin4p","YPL141C"
"750","cell cycle, checkpoint","protein kinase","YPL153C"
"751","cytoskeleton (putative)","kinesin-related protein","YPL155C"
"752","unknown","unknown","YPL158C"
"753","vanadate resistance","unknown","YPL163C"
"754","mating","alpha factor precursor","YPL187W"
"755","unknown","unknown","YPL208W"
"756","mitosis, chromosome segregation","protein kinase","YPL209C"
"757","unknown","unknown; bypass of PAM1","YPL221W"
"758","secretion","post-Golgi t-SNARE","YPL232W"
"759","mitosis, chromosome segregation","unknown","YPL241C"
"760","cytoskeleton","IQGAP homolog","YPL242C"
"761","unknown","unknown","YPL250C"
"762","nuclear fusion (putative)","Kar3p interactor","YPL253C"
"763","cell cycle and meiosis","unknown","YPL255W"
"764","cell cycle","G1/S cyclin","YPL256C"
"765","unknown","major facilitator superfamily","YPL264C"
"766","transport","dicarboxylic amino acid permease","YPL265W"
"767","unknown","unknown","YPL267W"
"768","cytoskeleton","cytoplasmic microtubule orientation","YPL269W"
"769","unknown","similar to Gap1p and other amino acid permeases","YPL274W"
"770","unknown","similar to other subtelomerically-encoded protein","YPL283C"
"771","unknown","similar to mouse REX1 encoded transcription factor","YPR013C"
"772","unknown","unknown","YPR014C"
"773","chromatin structure","chromatin assembly factor I subunit","YPR018W"
"774","DNA replication","MCM initiator complex","YPR019W"
"775","cytoskeleton (putative)","actin-related protein","YPR034W"
"776","unknown","similar to C. elegans protein","YPR045C"
"777","signaling (putative)","pheromone pathway","YPR075C"
"778","unknown","unknown","YPR076W"
"779","staurosporine resistance","protein kinase","YPR106W"
"780","mRNA 3'-end processing","cleavage/polyadenylation specificity factor subunit","YPR107C"
"781","cell cycle","M phase; protein kinase","YPR111W"
"782","cell cycle","G2/M cyclin","YPR119W"
"783","cell cycle","G1/S cyclin","YPR120C"
"784","unknown","similar to ADP/ATP carrier proteins","YPR128C"
"785","DNA replication","polymerase alpha binding protein","YPR135W"
"786","transport","ammonia permease","YPR138C"
"787","mating; nuclear fusion; mitosis","kinesin-like protein","YPR141C"
"788","secretion, non-classical","unknown","YPR149W"
"789","ATP synthesis","regulates Atp6p and Atp8p synthesis","YPR155C"
"790","unknown","major facilitator superfamily","YPR156C"
"791","unknown","unknown","YPR157W"
"792","cell wall biogenesis","glucan synthase subunit","YPR159W"
"793","glycogen metabolism","glycogen phosphorylase","YPR160W"
"794","sulfate assimilation","3'-phosphoadenylylsulfate reductase","YPR167C"
"795","unknown","similar to C. elegans nuclear lamin","YPR174C"
"796","DNA replication","polymerase epsilon 80 kDa subunit","YPR175W"
"797","unknown","similar to other subtelomerically-encoded proteins","YPR202W"
"798","unknown","similar to other subtelomerically-encoded proteins","YPR203W"
"799","unknown","similar to other subtelomerically-encoded proteins","YPR204W"
